Owner,Repository,Xtext File,Mwe2 File,New File
vjordan,Xtext_browser,"vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/org/xtext/browser/mydsl/MyDsl.xtext,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/org/xtext/browser/mydsl/MyDsl.xtext","vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/org/xtext/browser/mydsl/GenerateMyDsl.mwe2,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/org/xtext/browser/mydsl/GenerateMyDsl.mwe2","vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test1.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test2.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test3.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test4.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test5.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test6.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test7.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test8.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test9.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test1.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test2.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test3.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test4.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test5.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test6.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test7.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test8.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test9.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test1.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test2.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test3.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test4.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test5.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test6.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test7.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test8.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/bin/Tests/Test9.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test1.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test2.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test3.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test4.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test5.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test6.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test7.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test8.mydsl,vjordan-Xtext_browser-ce009ec/org.xtext.browser.mydsl/src/Tests/Test9.mydsl"
Yop-La,xtext_project,Yop-La-xtext_project-0c61f2d/src/org/xtext/example/mydsl/Mml.xtext,Yop-La-xtext_project-0c61f2d/src/org/xtext/example/mydsl/GenerateMml.mwe2,null
JesterOrNot,Gitpod-XText,JesterOrNot-Gitpod-XText-f54df2d/org.xtext.hello/src/main/java/org/xtext/example/hello/HelloLanguage.xtext,JesterOrNot-Gitpod-XText-f54df2d/org.xtext.hello/src/main/java/org/xtext/example/hello/GenerateHelloLanguage.mwe2,JesterOrNot-Gitpod-XText-f54df2d/my.hello
eclipse,xtext-archive,null,null,null
Lethalaric,xtext-learning,"Lethalaric-xtext-learning-e28da6b/org.example.domainmodel/bin/org/example/domainmodel/Domainmodel.xtext,Lethalaric-xtext-learning-e28da6b/org.example.domainmodel/src/org/example/domainmodel/Domainmodel.xtext","Lethalaric-xtext-learning-e28da6b/org.example.domainmodel/bin/org/example/domainmodel/GenerateDomainmodel.mwe2,Lethalaric-xtext-learning-e28da6b/org.example.domainmodel/src/org/example/domainmodel/GenerateDomainmodel.mwe2","Lethalaric-xtext-learning-e28da6b/my-project/bin/blogs.dmodel,Lethalaric-xtext-learning-e28da6b/my-project/bin/commons.dmodel,Lethalaric-xtext-learning-e28da6b/my-project/bin/datatypes.dmodel,Lethalaric-xtext-learning-e28da6b/my-project/src/blogs.dmodel,Lethalaric-xtext-learning-e28da6b/my-project/src/commons.dmodel,Lethalaric-xtext-learning-e28da6b/my-project/src/datatypes.dmodel,Lethalaric-xtext-learning-e28da6b/my-project/bin/blogs.dmodel,Lethalaric-xtext-learning-e28da6b/my-project/bin/commons.dmodel,Lethalaric-xtext-learning-e28da6b/my-project/bin/datatypes.dmodel,Lethalaric-xtext-learning-e28da6b/my-project/src/blogs.dmodel,Lethalaric-xtext-learning-e28da6b/my-project/src/commons.dmodel,Lethalaric-xtext-learning-e28da6b/my-project/src/datatypes.dmodel"
DSIE2,tr.xtext,DSIE2-tr.xtext-0203d66/org.upct.tr/src/org/upct/tr/TR.xtext,DSIE2-tr.xtext-0203d66/org.upct.tr/src/org/upct/tr/GenerateTR.mwe2,null
ShivaniBali,Theia-Xtext,"ShivaniBali-Theia-Xtext-0c108e2/org.xtext.example.mydsl.parent/org.xtext.example.mydsl/bin/org/xtext/example/mydsl/MyDsl.xtext,ShivaniBali-Theia-Xtext-0c108e2/org.xtext.example.mydsl.parent/org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext","ShivaniBali-Theia-Xtext-0c108e2/org.xtext.example.mydsl.parent/org.xtext.example.mydsl/bin/org/xtext/example/mydsl/GenerateMyDsl.mwe2,ShivaniBali-Theia-Xtext-0c108e2/org.xtext.example.mydsl.parent/org.xtext.example.mydsl/src/org/xtext/example/mydsl/GenerateMyDsl.mwe2","ShivaniBali-Theia-Xtext-0c108e2/org.xtext.example.mydsl.ide.tests/test-data/test-project/hello.mydsl,ShivaniBali-Theia-Xtext-0c108e2/org.xtext.example.mydsl.ide.tests/test-data/test-project/hello.mydsl"
kthoms,xtext-webinar,null,null,null
christopherosthues,mgpl-xtext,christopherosthues-mgpl-xtext-893e446/org.xtext.vuc.mgpl/src/org/xtext/vuc/mgpl/MGPL.xtext,christopherosthues-mgpl-xtext-893e446/org.xtext.vuc.mgpl/src/org/xtext/vuc/mgpl/GenerateMGPL.mwe2,null
zhanglin2018,learnXtext,"zhanglin2018-learnXtext-546fc39/org.example.entities.parent/org.example.entities/bin/org/example/entities/Entities.xtext,zhanglin2018-learnXtext-546fc39/org.example.entities.parent/org.example.entities/src/org/example/entities/Entities.xtext,zhanglin2018-learnXtext-546fc39/org.xtext.example.mydsl.parent/org.xtext.example.mydsl/bin/org/xtext/example/mydsl/MyDsl.xtext,zhanglin2018-learnXtext-546fc39/org.xtext.example.mydsl.parent/org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext","zhanglin2018-learnXtext-546fc39/org.example.entities.parent/org.example.entities/bin/org/example/entities/GenerateEntities.mwe2,zhanglin2018-learnXtext-546fc39/org.example.entities.parent/org.example.entities/src/org/example/entities/GenerateEntities.mwe2,zhanglin2018-learnXtext-546fc39/org.xtext.example.mydsl.parent/org.xtext.example.mydsl/bin/org/xtext/example/mydsl/GenerateMyDsl.mwe2,zhanglin2018-learnXtext-546fc39/org.xtext.example.mydsl.parent/org.xtext.example.mydsl/src/org/xtext/example/mydsl/GenerateMyDsl.mwe2","zhanglin2018-learnXtext-546fc39/org.example.entities.parent/EWC_runtime_entities.examples/bin/example.entities,zhanglin2018-learnXtext-546fc39/org.example.entities.parent/EWC_runtime_entities.examples/src/example.entities,zhanglin2018-learnXtext-546fc39/org.example.entities.parent/EWC_runtime_entities.examples/bin/example.entities,zhanglin2018-learnXtext-546fc39/org.example.entities.parent/EWC_runtime_entities.examples/src/example.entities"
seebgar,Xtext-Projects,"seebgar-Xtext-Projects-d158337/org.xtext.example.ceffective/bin/org/xtext/example/ceffective/Ceffective.xtext,seebgar-Xtext-Projects-d158337/org.xtext.example.ceffective/src/org/xtext/example/ceffective/Ceffective.xtext","seebgar-Xtext-Projects-d158337/org.xtext.example.ceffective/bin/org/xtext/example/ceffective/GenerateCeffective.mwe2,seebgar-Xtext-Projects-d158337/org.xtext.example.ceffective/src/org/xtext/example/ceffective/GenerateCeffective.mwe2",null
Vallenstein,xtext_web,"Vallenstein-xtext_web-6f41392/org.xtext.example.landingpagedsl/bin/org/xtext/example/landingpagedsl/LPDSL.xtext,Vallenstein-xtext_web-6f41392/org.xtext.example.landingpagedsl/src/org/xtext/example/landingpagedsl/LPDSL.xtext","Vallenstein-xtext_web-6f41392/org.xtext.example.landingpagedsl/bin/org/xtext/example/landingpagedsl/GenerateLPDSL.mwe2,Vallenstein-xtext_web-6f41392/org.xtext.example.landingpagedsl/src/org/xtext/example/landingpagedsl/GenerateLPDSL.mwe2",null
AbQadirr,dialogXtextflow,null,null,null
blue995,xtext-orm,blue995-xtext-orm-ee23a6d/de.tobias_blaufuss.persistence/src/de/tobias_blaufuss/persistence/Persistence.xtext,blue995-xtext-orm-ee23a6d/de.tobias_blaufuss.persistence/src/de/tobias_blaufuss/persistence/GeneratePersistence.mwe2,blue995-xtext-orm-ee23a6d/examples/src/datatypes.pmodel
arockiaraj1994,xtext-mvn,"arockiaraj1994-xtext-mvn-6087e2a/org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext,arockiaraj1994-xtext-mvn-6087e2a/org.xtext.example.mydsl/target/classes/org/xtext/example/mydsl/MyDsl.xtext","arockiaraj1994-xtext-mvn-6087e2a/org.xtext.example.mydsl/src/org/xtext/example/mydsl/GenerateMyDsl.mwe2,arockiaraj1994-xtext-mvn-6087e2a/org.xtext.example.mydsl/target/classes/org/xtext/example/mydsl/GenerateMyDsl.mwe2",null
moein9,passXtext,null,null,null
saivarunr,xtext-editor,null,null,null
JesterOrNot,xtext-cli,null,null,null
Somiacao,xtext-web,Somiacao-xtext-web-7dc9a79/org.xtext.example.mydsl.parent/org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext,Somiacao-xtext-web-7dc9a79/org.xtext.example.mydsl.parent/org.xtext.example.mydsl/src/org/xtext/example/mydsl/GenerateMyDsl.mwe2,"Somiacao-xtext-web-7dc9a79/org.xtext.example.mydsl.parent/org.xtext.example.mydsl.web/src/org/xtext/example/mydsl/web/function.mydsl,Somiacao-xtext-web-7dc9a79/org.xtext.example.mydsl.parent/org.xtext.example.mydsl.web/src/org/xtext/example/mydsl/web/topic.mydsl"
katmatt,graphql-xtext,katmatt-graphql-xtext-a7d4465/io.github.katmatt.graphql/src/io/github/katmatt/graphql/GraphQL.xtext,katmatt-graphql-xtext-a7d4465/io.github.katmatt.graphql/src/io/github/katmatt/graphql/GenerateGraphQL.mwe2,null
LIONant-depot,xtexture_compiler,null,null,null
tchebs,xtext-example,"MaxiEckert-Xtext-example-3432c48/masterarbeit_workspace_xtext/org.xtext.example.mydsl2/bin/org/xtext/example/mydsl2/MyDsl.xtext,MaxiEckert-Xtext-example-3432c48/masterarbeit_workspace_xtext/org.xtext.example.mydsl2/src/org/xtext/example/mydsl2/MyDsl.xtext","MaxiEckert-Xtext-example-3432c48/masterarbeit_workspace_xtext/org.xtext.example.mydsl2/bin/org/xtext/example/mydsl2/GenerateMyDsl.mwe2,MaxiEckert-Xtext-example-3432c48/masterarbeit_workspace_xtext/org.xtext.example.mydsl2/src/org/xtext/example/mydsl2/GenerateMyDsl.mwe2","MaxiEckert-Xtext-example-3432c48/runtime-EclipseXtext/TestDSL/bin/test.mydsl2,MaxiEckert-Xtext-example-3432c48/runtime-EclipseXtext/TestDSL/src/test.mydsl2,MaxiEckert-Xtext-example-3432c48/runtime-EclipseXtext/TestDSL/bin/test.mydsl2,MaxiEckert-Xtext-example-3432c48/runtime-EclipseXtext/TestDSL/src/test.mydsl2"
ballcoach12,xtext_samples,null,null,null
AssaX0,MDSE-xtext,AssaX0-MDSE-xtext-dce8e85/eclipse-workspace/org.example.domainmodel/src/org/example/domainmodel/Domainmodel.xtext,AssaX0-MDSE-xtext-dce8e85/eclipse-workspace/org.example.domainmodel/src/org/example/domainmodel/GenerateDomainmodel.mwe2,AssaX0-MDSE-xtext-dce8e85/runtime-EclipseXtext/my-vorlesung/src/my-vorlesung.dmodel
samples-projects,sample-xtext,samples-projects-sample-xtext-3b587df/org.eclipse.xtext.example.domainmodel/src/org/eclipse/xtext/example/domainmodel/Domainmodel.xtext,samples-projects-sample-xtext-3b587df/org.eclipse.xtext.example.domainmodel/src/org/eclipse/xtext/example/domainmodel/GenerateDomainmodel.mwe2,null
karthik137,xtext-demo,"karthik137-xtext-demo-15b454e/org.example.domainmodel/bin/org/example/domainmodel/Domainmodel.xtext,karthik137-xtext-demo-15b454e/org.example.domainmodel/src/org/example/domainmodel/Domainmodel.xtext","karthik137-xtext-demo-15b454e/org.example.domainmodel/bin/org/example/domainmodel/GenerateDomainmodel.mwe2,karthik137-xtext-demo-15b454e/org.example.domainmodel/src/org/example/domainmodel/GenerateDomainmodel.mwe2",null
MDE-Course-23-24,SIRIUS-XTEXT,MDE-Course-23-24-SIRIUS-XTEXT-b6d2ae1/it.univaq.disim.usecase.statemachine.xtext/src/it/univaq/disim/usecase/statemachine/xtext/StateMachineDsl.xtext,MDE-Course-23-24-SIRIUS-XTEXT-b6d2ae1/it.univaq.disim.usecase.statemachine.xtext/src/it/univaq/disim/usecase/statemachine/xtext/GenerateStateMachineDsl.mwe2,null
softlang,megal-xtext,softlang-megal-xtext-7b0e3ac/org.softlang.megal.language/src/org/softlang/megal/language/Megal.xtext,"softlang-megal-xtext-7b0e3ac/org.softlang.megal.language/src/org/softlang/megal/language/GenerateMegal.mwe2,softlang-megal-xtext-7b0e3ac/org.softlang.megal/transformation/GenerateModel.mwe2","softlang-megal-xtext-7b0e3ac/org.softlang.megal.examples/megamodel/Bigstuff.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.examples/megamodel/Deserialization.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.examples/megamodel/JDOM.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.examples/megamodel/JVM.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.examples/megamodel/Java.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.examples/megamodel/Mapping.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.examples/megamodel/Parts.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.examples/megamodel/PreludeOut.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.examples/megamodel/XML.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.plugins/megal/Deserialization.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.plugins/megal/JDOM.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.plugins/megal/JVM.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.plugins/megal/Java.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.plugins/megal/Mapping.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.plugins/megal/Parts.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.plugins/megal/Prelude.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.plugins/megal/SQLDDL.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.plugins/megal/XML.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.plugins/megal/bindings.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.plugins/megal/test.megal,softlang-megal-xtext-7b0e3ac/org.softlang.megal.plugins/output/out.megal"
laurocesar,xtext-domainmodel,laurocesar-xtext-domainmodel-da5db11/org.example.domainmodel/src/org/example/domainmodel/LanguageName.xtext,laurocesar-xtext-domainmodel-da5db11/org.example.domainmodel/src/org/example/domainmodel/GenerateLanguageName.mwe2,null
Yahaya12,Xtext-project,null,null,null
malhxr,SpeechXtext,null,null,null
stanimirovv,xtext-extractor,null,null,null
3m3k3,xtext-congen,3m3k3-xtext-congen-8a9b653/beetween.com.mp.connector.generator/src/beetween/com/mp/connector/generator/ConnectorGenerator.xtext,3m3k3-xtext-congen-8a9b653/beetween.com.mp.connector.generator/src/beetween/com/mp/connector/generator/GenerateConnectorGenerator.mwe2,null
pen-zhang,xtext_elm_editor,null,null,null
NSaitoNmiri,toppers_cfg_xtext,NSaitoNmiri-toppers_cfg_xtext-5f87611/jp.toppers.cfg.parent/jp.toppers.cfg/src/jp/toppers/cfg/Cfg.xtext,NSaitoNmiri-toppers_cfg_xtext-5f87611/jp.toppers.cfg.parent/jp.toppers.cfg/src/jp/toppers/cfg/GenerateCfg.mwe2,null
tmtron,ex.xtext.twog,"tmtron-ex.xtext.twog-9106b1e/com.tmtron.ex.xtext.twog.a/src/main/java/com/tmtron/ex/xtext/twog/A.xtext,tmtron-ex.xtext.twog-9106b1e/com.tmtron.ex.xtext.twog.b/src/main/java/com/tmtron/ex/xtext/twog/B.xtext","tmtron-ex.xtext.twog-9106b1e/com.tmtron.ex.xtext.twog.a/src/main/java/com/tmtron/ex/xtext/twog/GenerateA.mwe2,tmtron-ex.xtext.twog-9106b1e/com.tmtron.ex.xtext.twog.b/src/main/java/com/tmtron/ex/xtext/twog/GenerateB.mwe2","tmtron-ex.xtext.twog-9106b1e/demo/demoA/src/main/java/com/tmtron/modelA.dsla,tmtron-ex.xtext.twog-9106b1e/demo/demoB/src/main/java/modelB.dslb"
vinicius0197,metacrysl,vinicius0197-metacrysl-fa66679/org.Crysl/src/org/Crysl.xtext,vinicius0197-metacrysl-fa66679/org.Crysl/src/org/GenerateCrysl.mwe2,null
Dexels,navascript-editor,Dexels-navascript-editor-3ec4533/com.dexels.navajo.xtext.navascript/src/com/dexels/navajo/Navascript.xtext,Dexels-navascript-editor-3ec4533/com.dexels.navajo.xtext.navascript/src/com/dexels/navajo/GenerateNavascript.mwe2,null
adrianrutle,PCS953-EMF-Exercise,null,null,null
ravornyo,xspice,"ravornyo-xspice-d0a00e1/com.xtext.ravornyo.xspice/src/com/xtext/ravornyo/xspice/XSpice.xtext,ravornyo-xspice-d0a00e1/com.xtext.ravornyo.xspice/target/classes/com/xtext/ravornyo/xspice/XSpice.xtext","ravornyo-xspice-d0a00e1/com.xtext.ravornyo.xspice/src/com/xtext/ravornyo/xspice/GenerateXSpice.mwe2,ravornyo-xspice-d0a00e1/com.xtext.ravornyo.xspice/target/classes/com/xtext/ravornyo/xspice/GenerateXSpice.mwe2",null
yamen-njm,IotXtext,"yamen-njm-IotXtext-c13739b/edu.univ.nantes.iot/bin/edu/univ/nantes/iot/IotDsl.xtext,yamen-njm-IotXtext-c13739b/edu.univ.nantes.iot/src/edu/univ/nantes/iot/IotDsl.xtext","yamen-njm-IotXtext-c13739b/edu.univ.nantes.iot/bin/edu/univ/nantes/iot/GenerateIotDsl.mwe2,yamen-njm-IotXtext-c13739b/edu.univ.nantes.iot/src/edu/univ/nantes/iot/GenerateIotDsl.mwe2",null
kainzpat14,xtext-plsql,kainzpat14-xtext-plsql-08131c5/sh.kainz.plsql.parent/sh.kainz.plsql/src/sh/kainz/plsql/Plsql.xtext,kainzpat14-xtext-plsql-08131c5/sh.kainz.plsql.parent/sh.kainz.plsql/src/sh/kainz/plsql/GeneratePlsql.mwe2,null
epsilonlabs,emc-xtext,null,null,null
robertovillarejo,kukulkan-grammar,robertovillarejo-kukulkan-grammar-199f24e/mx.infotec.dads.kukulkan.parent/mx.infotec.dads.kukulkan/src/main/java/mx/infotec/dads/kukulkan/Kukulkan.xtext,robertovillarejo-kukulkan-grammar-199f24e/mx.infotec.dads.kukulkan.parent/mx.infotec.dads.kukulkan/src/main/java/mx/infotec/dads/kukulkan/GenerateKukulkan.mwe2,null
lvanzeun,ulm-xtext-test,lvanzeun-ulm-xtext-test-eb124ca/ulm.xtext2/src/org/ulm/metaulm/xtext/UlmDsl2.xtext,lvanzeun-ulm-xtext-test-eb124ca/ulm.xtext2/src/org/ulm/metaulm/xtext/GenerateUlmDsl2.mwe2,lvanzeun-ulm-xtext-test-eb124ca/ulm.xtext2.design/logicalmodel.metaulm
